beseech	to beg, plead, implore
onerous	involving an amount of effort and difficulty that is oppressively burdensome
opaque	not able to be seen through; not transparent
magisterial	having or showing great authority
circumvent	find a way around (an obstacle)/overcome (a problem or difficulty), typically in a clever and surreptitious way
draconian	excessively harsh and severe
rapacious	aggressively greedy or grasping
adjunct	a thing added to something else as a supplementary rather than an essential part
malady	a disease or ailment
assuage	make (an unpleasant feeling) less intense
profess	to affirm openly; declare or claim, sometimes when this is not the case
antediluvian	ridiculously old-fashioned
chauvinistic	feeling or displaying aggressive or exaggerated patriotism
flighty	fickle and irresponsible
patronizing	apparently kind or helpful but betraying a feeling of superiority; condescending
discern	perceive or recognize (something)
envisaged	contemplated or conceived of as a possibility or a desirable future event
perfidious	deceitful and untrustworthy
loquacious	tending to talk a great deal; talkative
haphazard	lacking any obvious principle of organization
burlesque	a parody, an absurd or comically exaggerated imitation of something, especially in a literary or dramatic work
pastiche	an artistic work consisting of a medley of pieces taken from various sources/an artistic work in a style that imitates that of another work, artist, or period
esoteric	intended for or likely to be understood by only a small number of people with a specialized knowledge or interest
surreptitious	kept secret, especially because it would not be approved of
vexatious	causing or tending to cause annoyance, frustration, or worry
apropos	very appropriate to a particular situation
churlish	rude in a mean-spirited and surly way
cagey	reluctant to give information owing to caution or suspicion
pugnacious	eager or quick to argue, quarrel, or fight
complacent	showing smug or uncritical satisfaction with oneself or one's achievements
truculent	eager or quick to argue or fight; aggressively defiant and resistant
arduous	involving or requiring strenuous effort; difficult and tiring
stave-off	avert or delay something bad or dangerous
forestall	prevent or obstruct (an anticipated event or action) by taking action ahead of time
illusory	based on illusion; not real
evanescent	soon passing out of sight, memory, or existence; quickly fading or disappearing
punctilious	showing great attention to detail or correct behavior
prosaic	commonplace; unromantic/having the style or diction of prose; lacking poetic beauty
arcane	understood by few; mysterious or secret
quixotic	exceedingly idealistic; unrealistic and impractical
skullduggery	trickery intended to take advantage of you in some way
indolence	avoidance of activity or exertion; laziness
incivility	rude or unsociable speech or behavior
lethargy	a lack of energy and enthusiasm
fervor	intense and passionate feeling
conciliatory	intended or likely to overcome animosity or hostility
beguiled	charmed or enchanted, sometimes in a deceptive way
buoyed	caused to become cheerful or confident
insouciance	casual lack of concern; indifference; the cheerful feeling you have when nothing is troubling you
alacrity	brisk and cheerful readiness
pedestrian	lacking inspiration or excitement; dull
knotty	extremely difficult or intricate
vapid	offering nothing that is stimulating or challenging
inaccessible	difficult to understand or appreciate
confined	restricted in area or volume; cramped
animosity	strong hostility
